base_name,noise,snr,accuracy
ch1_2428-83699-0018.gzip,white,18,88.28125
ch1_1993-147965-0000.gzip,pink,24,88.27838827838828
ch1_2803-161169-0002.gzip,white,0,88.23529411764706
ch1_7850-286674-0002.gzip,car80,6,88.20224719101124
ch1_1462-170142-0017.gzip,wind,24,88.19444444444444
ch1_1988-24833-0019.gzip,white,0,88.16568047337279
ch1_1988-24833-0019.gzip,office,12,88.16568047337279
ch1_5694-64025-0010.gzip,white,18,88.15692079940784
ch1_1462-170142-0038.gzip,car80,18,88.11881188118812
ch1_1462-170142-0038.gzip,white,0,88.11881188118812
ch1_2078-142845-0007.gzip,pink,18,88.11728395061728
ch1_1462-170138-0022.gzip,car80,12,88.08290155440415
ch1_5694-64025-0010.gzip,pink,24,88.00888230940045
ch1_2078-142845-0007.gzip,office,12,87.96296296296296
ch1_2086-149220-0027.gzip,pink,6,87.9245283018868
ch1_2803-161169-0002.gzip,white,6,87.90849673202614
ch1_251-137823-0006.gzip,white,18,87.90322580645162
ch1_6241-61943-0021.gzip,office,0,87.89808917197452
ch1_6241-61943-0021.gzip,white,12,87.89808917197452
ch1_7976-105575-0004.gzip,pink,6,87.73333333333333
ch1_7976-105575-0004.gzip,pink,24,87.73333333333333
ch1_7976-105575-0004.gzip,office,12,87.73333333333333
ch1_2078-142845-0007.gzip,office,18,87.57716049382717
ch1_1988-24833-0019.gzip,office,24,87.57396449704142
ch1_1988-24833-0019.gzip,office,18,87.57396449704142
ch1_2803-161169-0014.gzip,white,6,87.51472320376914
ch1_2078-142845-0007.gzip,office,6,87.5
ch1_1462-170142-0017.gzip,wind,12,87.5
ch1_7976-105575-0004.gzip,office,6,87.46666666666667
ch1_1462-170142-0038.gzip,office,12,87.45874587458746
ch1_5694-64025-0010.gzip,white,24,87.34270910436713
ch1_7850-281318-0000.gzip,pink,24,87.3076923076923
ch1_2078-142845-0007.gzip,car80,18,87.19135802469135
ch1_1993-147965-0000.gzip,white,24,87.17948717948718
ch1_2086-149220-0027.gzip,white,0,87.16981132075472
ch1_1462-170142-0038.gzip,car80,12,87.12871287128714
ch1_1462-170142-0038.gzip,office,24,87.12871287128714
ch1_1462-170138-0022.gzip,office,0,87.04663212435233
ch1_2803-161169-0014.gzip,pink,12,87.04358068315665
ch1_2078-142845-0007.gzip,white,12,87.03703703703704
ch1_1988-24833-0019.gzip,car80,18,86.98224852071006
ch1_2803-161169-0002.gzip,pink,6,86.9281045751634
ch1_5694-64025-0010.gzip,pink,18,86.89859363434493
ch1_251-137823-0006.gzip,white,12,86.69354838709677
ch1_7976-105575-0004.gzip,white,18,86.66666666666667
ch1_6241-61943-0021.gzip,car80,0,86.62420382165605
ch1_2078-142845-0007.gzip,car80,12,86.57407407407408
ch1_2428-83699-0018.gzip,car80,6,86.49553571428571
ch1_2428-83699-0018.gzip,pink,24,86.49553571428571
ch1_1462-170142-0038.gzip,car80,24,86.46864686468646
ch1_2412-153954-0020.gzip,pink,12,86.34538152610442
ch1_6319-275224-0014.gzip,white,18,86.26865671641791
ch1_6319-275224-0014.gzip,pink,24,86.26865671641791
ch1_2078-142845-0007.gzip,car80,24,86.26543209876543
ch1_2078-142845-0007.gzip,pink,12,86.26543209876543
ch1_7850-286674-0002.gzip,car80,12,86.23595505617978
ch1_1988-24833-0001.gzip,pink,12,86.20689655172414
ch1_2428-83699-0018.gzip,car80,12,86.16071428571429
ch1_1462-170142-0038.gzip,Quiet,0,86.13861386138613
ch1_6319-275224-0014.gzip,white,12,86.11940298507463
ch1_2086-149220-0027.gzip,car80,6,86.0377358490566
ch1_6241-61943-0021.gzip,office,6,85.98726114649682
ch1_6241-61943-0021.gzip,pink,18,85.98726114649682
ch1_2803-161169-0014.gzip,white,0,85.98351001177856
ch1_6319-275224-0014.gzip,white,24,85.97014925373135
ch1_2803-161169-0002.gzip,pink,12,85.94771241830065
ch1_2428-83699-0018.gzip,white,24,85.9375
ch1_251-137823-0006.gzip,pink,24,85.88709677419355
ch1_1462-170142-0038.gzip,office,18,85.47854785478548
ch1_7850-281318-0000.gzip,pink,6,85.38461538461539
ch1_6319-275224-0014.gzip,pink,18,85.3731343283582
ch1_6241-61943-0021.gzip,white,18,85.35031847133757
ch1_6241-61943-0021.gzip,white,0,85.35031847133757
ch1_7976-105575-0004.gzip,white,24,85.33333333333333
ch1_5694-64025-0010.gzip,office,24,85.19615099925981
ch1_5694-64025-0010.gzip,Quiet,0,85.1221317542561
ch1_7850-286674-0002.gzip,white,12,85.11235955056179
ch1_251-137823-0006.gzip,car80,18,85.08064516129032
ch1_7976-105575-0004.gzip,office,18,85.06666666666666
ch1_7976-105575-0004.gzip,car80,6,85.06666666666666
ch1_7850-281318-0000.gzip,office,12,85.0
ch1_2078-142845-0007.gzip,white,6,84.95370370370371
ch1_2086-149220-0027.gzip,car80,12,84.90566037735849
ch1_5694-64025-0010.gzip,white,6,84.900074019245
ch1_5694-64025-0010.gzip,pink,12,84.8260547742413
ch1_6241-61943-0021.gzip,pink,6,84.71337579617834
ch1_2428-83699-0018.gzip,white,0,84.70982142857143
ch1_5694-64025-0010.gzip,car80,18,84.6780162842339
ch1_251-137823-0006.gzip,car80,24,84.6774193548387
ch1_2803-161169-0002.gzip,white,12,84.640522875817
ch1_7850-286674-0002.gzip,pink,18,84.5505617977528
ch1_7976-105575-0004.gzip,car80,12,84.53333333333333
ch1_1462-170142-0038.gzip,office,6,84.48844884488449
ch1_6319-275224-0014.gzip,car80,18,84.4776119402985
ch1_6319-275224-0014.gzip,white,6,84.4776119402985
ch1_5694-64025-0010.gzip,car80,24,84.4559585492228
ch1_777-126732-0060.gzip,pink,12,84.38133874239351
ch1_6295-244435-0018.gzip,wind,0,84.33734939759036
ch1_2803-161169-0002.gzip,pink,18,84.31372549019608
ch1_5694-64025-0010.gzip,car80,12,84.2339008142117
ch1_1988-24833-0001.gzip,white,6,84.17849898580121
ch1_2428-83699-0018.gzip,pink,6,84.15178571428571
ch1_2803-161169-0014.gzip,car80,12,84.09893992932862
ch1_6241-61943-0021.gzip,pink,24,84.07643312101911
ch1_2428-83699-0018.gzip,car80,18,84.04017857142857
ch1_6319-275224-0014.gzip,car80,12,84.02985074626865
ch1_1462-170142-0017.gzip,wind,6,84.02777777777777
ch1_5694-64025-0010.gzip,office,18,84.01184307920059
ch1_7976-105575-0004.gzip,office,0,84.0
ch1_2412-153954-0020.gzip,white,0,83.93574297188755
ch1_6313-66125-0003.gzip,pink,24,83.91608391608392
ch1_6319-275224-0014.gzip,car80,24,83.88059701492537
ch1_2803-161169-0014.gzip,pink,6,83.74558303886926
ch1_7976-105575-0004.gzip,office,24,83.73333333333333
ch1_6319-275224-0014.gzip,pink,12,83.73134328358209
ch1_2803-161169-0002.gzip,white,18,83.66013071895425
ch1_5694-64025-0010.gzip,office,12,83.56772760917839
ch1_2078-142845-0007.gzip,office,24,83.56481481481481
ch1_6313-66129-0008.gzip,pink,18,83.54430379746836
ch1_251-137823-0006.gzip,white,6,83.46774193548387
ch1_251-137823-0006.gzip,pink,18,83.46774193548387
ch1_7850-281318-0000.gzip,office,18,83.46153846153847
ch1_1988-24833-0019.gzip,car80,24,83.4319526627219
ch1_1988-24833-0019.gzip,car80,12,83.4319526627219
ch1_7850-286674-0002.gzip,pink,0,83.42696629213484
ch1_2078-142845-0007.gzip,office,0,83.33333333333333
ch1_1462-170142-0017.gzip,Babble,24,83.33333333333333
ch1_6313-66129-0008.gzip,pink,24,83.22784810126582
ch1_6313-66129-0008.gzip,white,12,83.22784810126582
ch1_6319-275224-0014.gzip,office,24,83.13432835820896
ch1_2428-83699-0018.gzip,office,6,83.03571428571429
ch1_1988-24833-0001.gzip,white,0,82.96146044624746
ch1_6313-66129-0008.gzip,white,6,82.9113924050633
ch1_1988-24833-0019.gzip,office,0,82.84023668639053
ch1_1462-170142-0038.gzip,pink,6,82.83828382838284
ch1_6241-61943-0021.gzip,white,24,82.80254777070064
ch1_2412-153954-0020.gzip,white,6,82.73092369477912
ch1_7850-281318-0000.gzip,office,6,82.6923076923077
ch1_2803-161169-0002.gzip,pink,24,82.6797385620915
ch1_2086-149220-0027.gzip,car80,18,82.64150943396227
ch1_1462-170142-0017.gzip,wind,0,82.63888888888889
ch1_6295-244435-0018.gzip,wind,6,82.53012048192771
ch1_2412-153954-0020.gzip,pink,6,82.3293172690763
ch1_251-137823-0006.gzip,pink,12,82.25806451612904
ch1_1988-24833-0019.gzip,pink,6,82.24852071005917
ch1_6313-66125-0003.gzip,pink,18,82.16783216783217
ch1_6313-66125-0003.gzip,white,18,82.16783216783217
ch1_6241-61943-0021.gzip,car80,6,82.1656050955414
ch1_6241-61943-0021.gzip,car80,12,82.1656050955414
ch1_6319-275224-0014.gzip,Quiet,0,82.08955223880596
ch1_7850-286674-0002.gzip,white,18,82.02247191011236
ch1_2078-142845-0007.gzip,Babble,24,82.02160493827161
ch1_2803-161169-0014.gzip,white,12,81.97879858657244
ch1_1462-170142-0017.gzip,Babble,18,81.94444444444444
ch1_2412-153954-0020.gzip,car80,0,81.92771084337349
ch1_2086-149220-0027.gzip,car80,24,81.88679245283019
ch1_1462-170138-0022.gzip,wind,12,81.86528497409327
ch1_6319-275224-0014.gzip,office,18,81.7910447761194
ch1_777-126732-0060.gzip,white,6,81.74442190669372
ch1_2428-83699-0018.gzip,office,12,81.69642857142857
ch1_1988-24833-0019.gzip,Quiet,0,81.65680473372781
ch1_7850-286674-0002.gzip,car80,18,81.46067415730337
ch1_251-137823-0006.gzip,car80,12,81.45161290322581
ch1_2078-142845-0007.gzip,pink,6,81.40432098765432
ch1_2428-83699-0018.gzip,car80,0,81.36160714285714
ch1_1988-24833-0001.gzip,pink,6,81.33874239350912
ch1_6295-244435-0018.gzip,wind,12,81.32530120481928
ch1_1993-147965-0000.gzip,car80,18,81.31868131868131
ch1_2428-83699-0018.gzip,office,0,81.25
ch1_7850-286674-0002.gzip,office,0,81.17977528089888
ch1_6313-66125-0001.gzip,pink,18,81.13879003558719
ch1_2428-83699-0018.gzip,office,18,81.13839285714286
ch1_2086-149220-0027.gzip,car80,0,81.13207547169812
ch1_6313-66125-0003.gzip,white,12,81.11888111888112
ch1_6313-66125-0003.gzip,white,24,81.11888111888112
ch1_251-137823-0006.gzip,wind,0,81.04838709677419
ch1_6313-66129-0008.gzip,white,18,81.0126582278481
ch1_5694-64025-0010.gzip,office,6,80.97705403404885
ch1_1993-147965-0000.gzip,car80,6,80.95238095238095
ch1_1988-24833-0001.gzip,pink,18,80.93306288032454
ch1_2412-153954-0020.gzip,car80,6,80.92369477911646
ch1_7850-286674-0002.gzip,pink,24,80.89887640449439
ch1_6319-275224-0014.gzip,car80,6,80.8955223880597
ch1_6241-61943-0021.gzip,office,12,80.89171974522293
ch1_2428-83699-0018.gzip,car80,24,80.80357142857143
ch1_2803-161169-0014.gzip,pink,18,80.80094228504123
ch1_1988-24833-0001.gzip,office,6,80.73022312373224
ch1_1988-24833-0001.gzip,white,12,80.73022312373224
ch1_2078-142845-0007.gzip,Babble,18,80.70987654320987
ch1_2078-142845-0007.gzip,car80,6,80.70987654320987
ch1_6313-66129-0008.gzip,pink,12,80.69620253164557
ch1_2803-161169-0014.gzip,car80,6,80.68315665488811
ch1_7850-286674-0002.gzip,car80,0,80.61797752808988
ch1_7850-286674-0002.gzip,office,6,80.61797752808988
ch1_1993-147965-0000.gzip,Quiet,0,80.58608058608058
ch1_1993-147965-0000.gzip,white,0,80.58608058608058
ch1_1993-147965-0000.gzip,car80,12,80.58608058608058
ch1_1462-170142-0038.gzip,wind,6,80.52805280528052
ch1_6319-275224-0014.gzip,white,0,80.44776119402985
ch1_6313-66125-0001.gzip,pink,12,80.42704626334519
ch1_6295-244435-0018.gzip,Quiet,0,80.42168674698796
ch1_2086-149220-0027.gzip,office,6,80.37735849056604
ch1_6241-61943-0021.gzip,office,24,80.2547770700637
ch1_6241-61943-0021.gzip,office,18,80.2547770700637
ch1_2428-83699-0018.gzip,office,24,80.24553571428571
ch1_251-137823-0006.gzip,Quiet,0,80.24193548387096
ch1_5694-64025-0010.gzip,wind,0,80.23686158401185
ch1_6313-66125-0003.gzip,pink,12,80.06993006993007
ch1_2803-161169-0002.gzip,office,6,80.06535947712419
ch1_2803-161169-0002.gzip,white,24,80.06535947712419
ch1_1462-170138-0022.gzip,car80,6,80.05181347150258
ch1_2086-149220-0027.gzip,office,18,80.0
ch1_2086-149220-0027.gzip,office,24,80.0
ch1_7976-105575-0004.gzip,car80,18,80.0
ch1_7850-281318-0000.gzip,office,24,80.0
ch1_1462-170142-0017.gzip,car80,6,79.86111111111111
ch1_1993-147965-0000.gzip,car80,24,79.85347985347985
ch1_251-137823-0006.gzip,car80,6,79.83870967741936
ch1_251-137823-0006.gzip,pink,6,79.83870967741936
ch1_2078-142845-0007.gzip,white,0,79.78395061728395
ch1_2803-161169-0002.gzip,car80,12,79.73856209150327
ch1_6313-66125-0001.gzip,white,6,79.7153024911032
ch1_2086-149220-0027.gzip,office,0,79.62264150943396
ch1_2086-149220-0027.gzip,wind,0,79.62264150943396
ch1_7850-281318-0000.gzip,car80,18,79.61538461538461
ch1_6319-275224-0014.gzip,office,12,79.55223880597015
ch1_6319-275224-0014.gzip,office,6,79.40298507462687
ch1_6313-66125-0003.gzip,office,12,79.37062937062937
ch1_1462-170138-0022.gzip,wind,18,79.27461139896373
ch1_2086-149220-0027.gzip,office,12,79.24528301886792
ch1_7850-281318-0000.gzip,Quiet,0,79.23076923076923
ch1_7976-105575-0004.gzip,car80,0,79.2
ch1_2078-142845-0007.gzip,Babble,12,79.16666666666667
ch1_6313-66129-0008.gzip,office,6,79.11392405063292
ch1_2803-161169-0002.gzip,office,0,79.08496732026144
ch1_6313-66125-0003.gzip,office,24,79.02097902097903
ch1_6313-66125-0003.gzip,office,18,79.02097902097903
ch1_2078-142845-0007.gzip,wind,6,78.93518518518519
ch1_7850-286674-0002.gzip,white,24,78.93258426966293
ch1_777-126732-0060.gzip,pink,6,78.90466531440163
ch1_1462-170142-0038.gzip,wind,12,78.87788778877888
ch1_777-126732-0060.gzip,white,0,78.70182555780933
ch1_6313-66129-0029.gzip,white,0,78.68480725623583
ch1_6313-66129-0029.gzip,pink,18,78.68480725623583
ch1_6313-66125-0003.gzip,white,6,78.67132867132867
ch1_7850-286674-0002.gzip,car80,24,78.65168539325843
ch1_1462-170142-0038.gzip,wind,0,78.54785478547855
ch1_5694-64025-0010.gzip,wind,6,78.46039970392302
ch1_7850-286674-0002.gzip,office,12,78.37078651685393
ch1_2428-83699-0018.gzip,Quiet,0,78.34821428571429
ch1_6241-61943-0021.gzip,Quiet,0,78.34394904458598
ch1_1988-24833-0001.gzip,office,12,78.29614604462475
ch1_1462-170138-0022.gzip,wind,6,78.23834196891191
ch1_6313-66129-0029.gzip,pink,12,78.2312925170068
ch1_6313-66129-0029.gzip,white,6,78.2312925170068
ch1_6313-66129-0008.gzip,office,12,78.16455696202532
ch1_2078-142845-0007.gzip,wind,0,78.16358024691358
ch1_1988-24833-0019.gzip,car80,6,78.10650887573965
ch1_5694-64025-0010.gzip,Babble,24,78.01628423390082
ch1_6295-244435-0018.gzip,white,18,78.01204819277109
ch1_6313-66125-0001.gzip,pink,24,77.93594306049822
ch1_7976-105575-0004.gzip,pink,0,77.86666666666666
ch1_251-137823-0006.gzip,wind,6,77.8225806451613
ch1_1462-170142-0017.gzip,Babble,12,77.77777777777777
ch1_1462-170138-0022.gzip,wind,24,77.72020725388602
ch1_1462-170138-0022.gzip,pink,0,77.72020725388602
ch1_6295-244435-0018.gzip,office,24,77.71084337349397
ch1_6295-244435-0018.gzip,wind,24,77.71084337349397
ch1_6295-244435-0018.gzip,white,24,77.71084337349397
ch1_1988-24833-0001.gzip,white,18,77.68762677484787
ch1_1993-147965-0000.gzip,pink,6,77.65567765567765
ch1_1993-147965-0000.gzip,office,12,77.65567765567765
ch1_5694-64025-0010.gzip,car80,6,77.6461880088823
ch1_2803-161169-0014.gzip,office,6,77.62073027090695
ch1_6319-275224-0014.gzip,pink,6,77.61194029850746
ch1_6313-66125-0001.gzip,white,12,77.58007117437722
ch1_1462-170142-0038.gzip,car80,6,77.55775577557756
ch1_2803-161169-0014.gzip,car80,18,77.50294464075382
ch1_777-126732-0060.gzip,white,12,77.48478701825557
ch1_6319-275224-0014.gzip,office,0,77.46268656716418
ch1_2803-161169-0002.gzip,office,12,77.45098039215686
ch1_251-137823-0006.gzip,wind,24,77.41935483870968
ch1_251-137823-0006.gzip,white,0,77.41935483870968
ch1_2078-142845-0007.gzip,wind,12,77.31481481481481
ch1_7850-281318-0000.gzip,office,0,77.3076923076923
ch1_2803-161169-0014.gzip,pink,24,77.26737338044758
ch1_2078-142845-0007.gzip,Quiet,0,77.23765432098766
ch1_1462-170142-0038.gzip,office,0,77.22772277227723
ch1_6313-66129-0008.gzip,office,24,77.21518987341773
ch1_6313-66129-0008.gzip,white,24,77.21518987341773
ch1_6319-275224-0014.gzip,Babble,18,77.16417910447761
ch1_2803-161169-0014.gzip,white,18,77.14958775029446
ch1_6295-244435-0018.gzip,wind,18,77.10843373493977
ch1_1988-24833-0001.gzip,car80,12,77.079107505071
ch1_6319-275224-0014.gzip,wind,12,77.01492537313433
ch1_7850-281318-0000.gzip,car80,24,76.92307692307692
ch1_6313-66125-0003.gzip,car80,18,76.92307692307692
