noise,snr,rows,rows_of_speech,file_number,accuracy
pink,12,824,653,ch1_3853-163249-0042.gzip,79.24757281553399
white,6,824,653,ch1_3853-163249-0042.gzip,79.24757281553399
white,0,824,653,ch1_3853-163249-0042.gzip,79.24757281553399
office,0,824,653,ch1_3853-163249-0042.gzip,79.24757281553399
car80,0,824,653,ch1_3853-163249-0042.gzip,79.24757281553399
car80,6,824,653,ch1_3853-163249-0042.gzip,79.12621359223301
office,6,824,653,ch1_3853-163249-0042.gzip,79.00485436893204
wind,18,238,120,ch1_2428-83705-0000.gzip,78.99159663865547
wind,24,279,113,ch1_8297-275154-0020.gzip,78.85304659498208
wind,0,307,185,ch1_5694-64025-0003.gzip,78.82736156351791
wind,18,307,185,ch1_5694-64025-0003.gzip,78.82736156351791
Babble,12,824,653,ch1_3853-163249-0042.gzip,78.7621359223301
white,12,824,653,ch1_3853-163249-0042.gzip,78.64077669902913
wind,6,694,300,ch1_777-126732-0005.gzip,78.53025936599424
car80,12,824,653,ch1_3853-163249-0042.gzip,78.39805825242719
office,12,824,653,ch1_3853-163249-0042.gzip,78.27669902912622
wind,6,340,225,ch1_2035-147961-0035.gzip,78.23529411764706
wind,24,307,185,ch1_5694-64025-0003.gzip,78.17589576547232
pink,18,824,653,ch1_3853-163249-0042.gzip,78.15533980582525
wind,0,633,185,ch1_2803-161169-0003.gzip,78.04107424960506
wind,6,332,287,ch1_6295-244435-0018.gzip,78.01204819277109
wind,12,340,225,ch1_2035-147961-0035.gzip,77.94117647058823
wind,0,279,113,ch1_8297-275154-0020.gzip,77.77777777777777
wind,24,432,330,ch1_84-121123-0020.gzip,77.77777777777777
wind,6,220,117,ch1_1272-135031-0019.gzip,77.72727272727273
pink,24,824,653,ch1_3853-163249-0042.gzip,77.66990291262135
Babble,18,824,653,ch1_3853-163249-0042.gzip,77.66990291262135
white,18,824,653,ch1_3853-163249-0042.gzip,77.66990291262135
office,6,688,565,ch1_251-118436-0003.gzip,77.61627906976744
wind,12,192,100,ch1_7850-73752-0019.gzip,77.60416666666667
wind,6,311,99,ch1_3536-8226-0021.gzip,77.49196141479099
wind,12,159,20,ch1_2412-153947-0000.gzip,77.35849056603773
office,18,824,653,ch1_3853-163249-0042.gzip,77.18446601941747
wind,24,179,101,ch1_8297-275154-0016.gzip,77.09497206703911
white,24,824,653,ch1_3853-163249-0042.gzip,76.82038834951456
wind,18,340,225,ch1_2035-147961-0035.gzip,76.76470588235294
car80,18,824,653,ch1_3853-163249-0042.gzip,76.69902912621359
wind,18,432,330,ch1_84-121123-0020.gzip,76.62037037037037
office,24,824,653,ch1_3853-163249-0042.gzip,76.57766990291262
Babble,24,824,653,ch1_3853-163249-0042.gzip,76.57766990291262
Babble,0,432,330,ch1_84-121123-0020.gzip,76.38888888888889
white,6,432,330,ch1_84-121123-0020.gzip,76.38888888888889
white,12,432,330,ch1_84-121123-0020.gzip,76.38888888888889
pink,6,432,330,ch1_84-121123-0020.gzip,76.38888888888889
pink,0,432,330,ch1_84-121123-0020.gzip,76.38888888888889
white,0,432,330,ch1_84-121123-0020.gzip,76.38888888888889
office,0,432,330,ch1_84-121123-0020.gzip,76.38888888888889
office,6,432,330,ch1_84-121123-0020.gzip,76.38888888888889
pink,12,432,330,ch1_84-121123-0020.gzip,76.38888888888889
pink,18,432,330,ch1_84-121123-0020.gzip,76.38888888888889
wind,0,694,300,ch1_777-126732-0005.gzip,76.36887608069165
car80,24,824,653,ch1_3853-163249-0042.gzip,76.33495145631068
wind,0,311,99,ch1_3536-8226-0021.gzip,76.20578778135048
car80,0,432,330,ch1_84-121123-0020.gzip,76.1574074074074
Babble,6,432,330,ch1_84-121123-0020.gzip,76.1574074074074
wind,18,545,395,ch1_1272-141231-0025.gzip,76.14678899082568
wind,0,373,120,ch1_2902-9008-0007.gzip,76.13941018766756
wind,6,735,179,ch1_2902-9008-0013.gzip,76.05442176870748
wind,6,192,100,ch1_7850-73752-0019.gzip,76.04166666666667
Quiet,0,824,653,ch1_3853-163249-0042.gzip,75.97087378640776
wind,18,578,285,ch1_2428-83705-0028.gzip,75.9515570934256
car80,6,432,330,ch1_84-121123-0020.gzip,75.92592592592592
wind,0,220,117,ch1_1272-135031-0019.gzip,75.9090909090909
pink,6,448,340,ch1_251-137823-0022.gzip,75.89285714285714
Babble,0,448,340,ch1_251-137823-0022.gzip,75.89285714285714
white,0,448,340,ch1_251-137823-0022.gzip,75.89285714285714
white,12,448,340,ch1_251-137823-0022.gzip,75.89285714285714
car80,0,448,340,ch1_251-137823-0022.gzip,75.89285714285714
Babble,6,448,340,ch1_251-137823-0022.gzip,75.89285714285714
pink,0,448,340,ch1_251-137823-0022.gzip,75.89285714285714
white,6,448,340,ch1_251-137823-0022.gzip,75.89285714285714
car80,6,448,340,ch1_251-137823-0022.gzip,75.89285714285714
Babble,12,448,340,ch1_251-137823-0022.gzip,75.89285714285714
office,0,448,340,ch1_251-137823-0022.gzip,75.89285714285714
pink,12,448,340,ch1_251-137823-0022.gzip,75.89285714285714
Babble,12,432,330,ch1_84-121123-0020.gzip,75.69444444444444
office,6,448,340,ch1_251-137823-0022.gzip,75.66964285714286
pink,18,448,340,ch1_251-137823-0022.gzip,75.66964285714286
Babble,18,448,340,ch1_251-137823-0022.gzip,75.66964285714286
wind,24,238,120,ch1_2428-83705-0000.gzip,75.63025210084034
wind,24,545,395,ch1_1272-141231-0025.gzip,75.41284403669725
wind,12,432,330,ch1_84-121123-0020.gzip,75.23148148148148
wind,12,545,395,ch1_1272-141231-0025.gzip,75.22935779816514
office,12,448,340,ch1_251-137823-0022.gzip,75.22321428571429
Babble,24,448,340,ch1_251-137823-0022.gzip,75.0
pink,24,448,340,ch1_251-137823-0022.gzip,74.77678571428571
white,18,448,340,ch1_251-137823-0022.gzip,74.77678571428571
wind,24,633,185,ch1_2803-161169-0003.gzip,74.565560821485
office,18,448,340,ch1_251-137823-0022.gzip,74.55357142857143
wind,0,308,135,ch1_6313-66125-0007.gzip,74.35064935064935
office,12,432,330,ch1_84-121123-0020.gzip,74.30555555555556
white,18,432,330,ch1_84-121123-0020.gzip,74.30555555555556
pink,0,179,133,ch1_5694-64025-0012.gzip,74.30167597765363
pink,12,179,133,ch1_5694-64025-0012.gzip,74.30167597765363
car80,0,179,133,ch1_5694-64025-0012.gzip,74.30167597765363
pink,6,179,133,ch1_5694-64025-0012.gzip,74.30167597765363
Babble,0,179,133,ch1_5694-64025-0012.gzip,74.30167597765363
car80,6,179,133,ch1_5694-64025-0012.gzip,74.30167597765363
white,12,179,133,ch1_5694-64025-0012.gzip,74.30167597765363
office,6,179,133,ch1_5694-64025-0012.gzip,74.30167597765363
white,6,179,133,ch1_5694-64025-0012.gzip,74.30167597765363
pink,18,179,133,ch1_5694-64025-0012.gzip,74.30167597765363
Babble,6,179,133,ch1_5694-64025-0012.gzip,74.30167597765363
Babble,12,179,133,ch1_5694-64025-0012.gzip,74.30167597765363
office,0,179,133,ch1_5694-64025-0012.gzip,74.30167597765363
white,0,179,133,ch1_5694-64025-0012.gzip,74.30167597765363
car80,12,448,340,ch1_251-137823-0022.gzip,74.10714285714286
Quiet,0,432,330,ch1_84-121123-0020.gzip,73.8425925925926
wind,6,432,330,ch1_84-121123-0020.gzip,73.8425925925926
car80,12,179,133,ch1_5694-64025-0012.gzip,73.74301675977654
Babble,18,179,133,ch1_5694-64025-0012.gzip,73.74301675977654
white,24,448,340,ch1_251-137823-0022.gzip,73.66071428571429
pink,24,432,330,ch1_84-121123-0020.gzip,73.61111111111111
wind,6,223,77,ch1_5895-34629-0031.gzip,73.54260089686099
car80,12,432,330,ch1_84-121123-0020.gzip,73.37962962962963
Babble,18,688,565,ch1_251-118436-0003.gzip,73.25581395348837
white,18,179,133,ch1_5694-64025-0012.gzip,73.18435754189944
wind,0,223,77,ch1_5895-34629-0031.gzip,73.09417040358744
wind,0,192,100,ch1_7850-73752-0019.gzip,72.91666666666667
car80,18,432,330,ch1_84-121123-0020.gzip,72.68518518518519
office,12,179,133,ch1_5694-64025-0012.gzip,72.62569832402235
pink,24,179,133,ch1_5694-64025-0012.gzip,72.62569832402235
