base_name,noise,snr,accuracy
ch1_1462-170142-0038.gzip,pink,12,88.44884488448845
ch1_2078-142845-0007.gzip,pink,12,88.42592592592592
ch1_2428-83699-0018.gzip,pink,18,88.39285714285714
ch1_2086-149220-0027.gzip,white,12,88.30188679245283
ch1_2086-149220-0027.gzip,white,6,88.30188679245283
ch1_7976-105575-0004.gzip,office,6,88.26666666666667
ch1_7976-105575-0004.gzip,pink,24,88.26666666666667
ch1_1462-170142-0017.gzip,wind,0,88.19444444444444
ch1_251-137823-0025.gzip,car80,12,88.15789473684211
ch1_1462-170142-0038.gzip,white,0,88.11881188118812
ch1_1462-170142-0038.gzip,car80,18,88.11881188118812
ch1_7850-281318-0000.gzip,white,0,88.07692307692308
ch1_7976-105575-0004.gzip,pink,6,88.0
ch1_1462-170142-0038.gzip,car80,12,87.7887788778878
ch1_5694-64025-0010.gzip,pink,12,87.78682457438934
ch1_5694-64025-0010.gzip,white,6,87.71280532938565
ch1_7850-281318-0000.gzip,white,24,87.6923076923077
ch1_7850-281318-0000.gzip,pink,24,87.6923076923077
ch1_1988-24833-0019.gzip,white,0,87.57396449704142
ch1_1462-170138-0022.gzip,office,0,87.56476683937824
ch1_2086-149220-0027.gzip,pink,12,87.54716981132076
ch1_251-137823-0006.gzip,car80,18,87.5
ch1_7976-105575-0004.gzip,white,0,87.46666666666667
ch1_2803-161169-0014.gzip,white,0,87.39693757361601
ch1_2428-83699-0018.gzip,white,0,87.38839285714286
ch1_1462-170138-0022.gzip,car80,12,87.30569948186529
ch1_251-137823-0025.gzip,pink,0,87.28070175438596
ch1_2428-83699-0018.gzip,white,18,87.27678571428571
ch1_2803-161169-0002.gzip,pink,12,87.25490196078431
ch1_2086-149220-0027.gzip,white,0,87.16981132075472
ch1_7850-286674-0002.gzip,pink,12,87.07865168539325
ch1_1988-24833-0019.gzip,office,6,86.98224852071006
ch1_1988-24833-0019.gzip,office,12,86.98224852071006
ch1_6319-275224-0014.gzip,white,18,86.86567164179104
ch1_251-137823-0025.gzip,car80,18,86.84210526315789
ch1_251-137823-0025.gzip,office,0,86.84210526315789
ch1_2078-142845-0007.gzip,office,0,86.80555555555556
ch1_1462-170142-0017.gzip,wind,18,86.80555555555556
ch1_7850-286674-0002.gzip,white,6,86.79775280898876
ch1_7976-105575-0004.gzip,office,0,86.66666666666667
ch1_6319-275224-0014.gzip,white,24,86.56716417910448
ch1_2428-83699-0018.gzip,pink,6,86.49553571428571
ch1_1462-170142-0038.gzip,office,18,86.46864686468646
ch1_6319-275224-0014.gzip,pink,24,86.41791044776119
ch1_6319-275224-0014.gzip,pink,18,86.41791044776119
ch1_1988-24833-0019.gzip,pink,24,86.3905325443787
ch1_1988-24833-0019.gzip,office,18,86.3905325443787
ch1_251-137823-0006.gzip,car80,24,86.29032258064517
ch1_7850-281318-0000.gzip,pink,6,86.15384615384616
ch1_6319-275224-0014.gzip,white,12,86.11940298507463
ch1_6313-66125-0003.gzip,pink,18,86.01398601398601
ch1_6241-61943-0021.gzip,white,18,85.98726114649682
ch1_6241-61943-0021.gzip,pink,12,85.98726114649682
ch1_6241-61943-0021.gzip,pink,6,85.98726114649682
ch1_6241-61943-0021.gzip,office,6,85.98726114649682
ch1_251-137823-0006.gzip,white,6,85.88709677419355
ch1_251-137823-0006.gzip,pink,12,85.88709677419355
ch1_1462-170142-0038.gzip,office,6,85.8085808580858
