base_name,noise,snr,accuracy
ch1_7976-105575-0004.gzip,pink,18,89.06666666666666
ch1_7850-286674-0002.gzip,white,0,89.04494382022472
ch1_2078-142845-0007.gzip,white,12,89.04320987654322
ch1_1993-147965-0000.gzip,pink,12,89.01098901098901
ch1_2078-142845-0007.gzip,white,24,88.96604938271605
ch1_7850-281318-0000.gzip,pink,24,88.84615384615384
ch1_1462-170142-0038.gzip,car80,24,88.77887788778878
ch1_1462-170142-0038.gzip,white,0,88.77887788778878
ch1_6241-61943-0021.gzip,white,6,88.53503184713375
ch1_6241-61943-0021.gzip,white,12,88.53503184713375
ch1_6241-61943-0021.gzip,pink,24,88.53503184713375
ch1_7850-281318-0000.gzip,white,24,88.46153846153847
ch1_7850-281318-0000.gzip,office,12,88.46153846153847
ch1_1462-170142-0038.gzip,office,24,88.44884488448845
ch1_1462-170142-0038.gzip,office,18,88.44884488448845
ch1_2078-142845-0007.gzip,office,18,88.27160493827161
ch1_7976-105575-0004.gzip,pink,6,88.26666666666667
ch1_7976-105575-0004.gzip,white,18,88.26666666666667
ch1_1462-170142-0017.gzip,wind,0,88.19444444444444
ch1_2078-142845-0007.gzip,office,12,88.19444444444444
ch1_1462-170142-0017.gzip,car80,12,88.19444444444444
ch1_1462-170142-0038.gzip,car80,12,88.11881188118812
ch1_2803-161169-0014.gzip,car80,12,88.10365135453475
ch1_2428-83699-0018.gzip,pink,18,88.05803571428571
ch1_7976-105575-0004.gzip,white,0,88.0
ch1_7850-286674-0002.gzip,pink,6,87.92134831460675
ch1_2803-161169-0002.gzip,white,6,87.90849673202614
ch1_6241-61943-0021.gzip,white,24,87.89808917197452
ch1_1462-170142-0038.gzip,office,12,87.7887788778878
ch1_7850-281318-0000.gzip,car80,18,87.6923076923077
ch1_7850-281318-0000.gzip,white,0,87.6923076923077
ch1_7850-281318-0000.gzip,office,18,87.6923076923077
ch1_2803-161169-0014.gzip,pink,12,87.63250883392226
ch1_2803-161169-0002.gzip,pink,12,87.58169934640523
ch1_1988-24833-0019.gzip,office,18,87.57396449704142
ch1_2086-149220-0027.gzip,car80,24,87.54716981132076
ch1_1462-170142-0017.gzip,Babble,24,87.5
ch1_251-137823-0006.gzip,pink,24,87.5
ch1_7976-105575-0004.gzip,pink,24,87.46666666666667
ch1_5694-64025-0010.gzip,white,12,87.41672834937084
ch1_7850-286674-0002.gzip,white,12,87.35955056179775
ch1_7850-281318-0000.gzip,office,24,87.3076923076923
ch1_2078-142845-0007.gzip,office,6,87.26851851851852
ch1_6241-61943-0021.gzip,office,12,87.26114649681529
ch1_7976-105575-0004.gzip,office,12,87.2
ch1_2078-142845-0007.gzip,car80,24,87.19135802469135
ch1_2086-149220-0027.gzip,car80,18,87.16981132075472
ch1_2086-149220-0027.gzip,office,6,87.16981132075472
ch1_2086-149220-0027.gzip,office,0,87.16981132075472
ch1_5694-64025-0010.gzip,white,18,87.12065136935604
ch1_251-137823-0006.gzip,white,12,87.09677419354838
ch1_5694-64025-0010.gzip,pink,18,87.04663212435233
ch1_6319-275224-0014.gzip,pink,24,87.01492537313433
ch1_2078-142845-0007.gzip,pink,12,86.95987654320987
ch1_7976-105575-0004.gzip,office,18,86.93333333333334
ch1_7976-105575-0004.gzip,office,6,86.93333333333334
ch1_6319-275224-0014.gzip,car80,24,86.86567164179104
ch1_2086-149220-0027.gzip,pink,6,86.79245283018868
ch1_2086-149220-0027.gzip,office,12,86.79245283018868
ch1_2086-149220-0027.gzip,white,0,86.79245283018868
ch1_251-137823-0006.gzip,white,18,86.69354838709677
ch1_251-137823-0006.gzip,pink,18,86.69354838709677
ch1_7976-105575-0004.gzip,car80,12,86.66666666666667
ch1_2803-161169-0002.gzip,white,12,86.60130718954248
ch1_6319-275224-0014.gzip,white,18,86.56716417910448
ch1_6319-275224-0014.gzip,pink,18,86.56716417910448
ch1_1462-170142-0038.gzip,office,6,86.46864686468646
ch1_2086-149220-0027.gzip,car80,12,86.41509433962264
ch1_251-137823-0025.gzip,office,0,86.40350877192982
ch1_7850-286674-0002.gzip,office,6,86.23595505617978
ch1_1462-170142-0038.gzip,Quiet,0,86.13861386138613
ch1_2428-83699-0018.gzip,white,18,86.04910714285714
ch1_6241-61943-0021.gzip,pink,6,85.98726114649682
ch1_6319-275224-0014.gzip,car80,18,85.97014925373135
ch1_6319-275224-0014.gzip,white,12,85.97014925373135
ch1_6319-275224-0014.gzip,white,24,85.97014925373135
ch1_7850-286674-0002.gzip,office,0,85.95505617977528
ch1_7850-286674-0002.gzip,car80,12,85.95505617977528
