base_name,noise,snr,accuracy
ch1_1462-170142-0017.gzip,wind,24,89.58333333333333
ch1_2803-161169-0002.gzip,pink,6,89.54248366013071
ch1_2078-142845-0007.gzip,office,12,89.42901234567901
ch1_2803-161169-0014.gzip,white,0,89.28150765606595
ch1_5694-64025-0010.gzip,white,18,89.26720947446336
ch1_6241-61943-0021.gzip,car80,6,89.171974522293
ch1_6241-61943-0021.gzip,office,6,89.171974522293
ch1_6241-61943-0021.gzip,pink,12,89.171974522293
ch1_251-137823-0006.gzip,white,24,89.11290322580645
ch1_1462-170142-0038.gzip,white,24,89.10891089108911
ch1_2078-142845-0007.gzip,office,18,89.04320987654322
ch1_1462-170138-0022.gzip,wind,12,88.860103626943
ch1_5694-64025-0010.gzip,white,24,88.82309400444116
ch1_7976-105575-0004.gzip,car80,6,88.8
ch1_1462-170142-0038.gzip,pink,24,88.77887788778878
ch1_1988-24833-0019.gzip,office,18,88.75739644970415
ch1_1988-24833-0019.gzip,office,6,88.75739644970415
ch1_5694-64025-0010.gzip,pink,12,88.74907475943745
ch1_5694-64025-0010.gzip,pink,24,88.67505551443375
ch1_2078-142845-0007.gzip,white,6,88.50308641975309
ch1_7850-281318-0000.gzip,white,18,88.46153846153847
ch1_2428-83699-0018.gzip,white,0,88.39285714285714
ch1_5694-64025-0010.gzip,pink,18,88.30495928941525
ch1_2086-149220-0027.gzip,white,0,88.30188679245283
ch1_1993-147965-0000.gzip,white,0,88.27838827838828
ch1_2803-161169-0002.gzip,pink,12,88.23529411764706
ch1_1462-170142-0017.gzip,car80,6,88.19444444444444
ch1_2428-83699-0018.gzip,white,12,88.16964285714286
ch1_1988-24833-0019.gzip,white,0,88.16568047337279
ch1_251-137823-0025.gzip,office,24,88.15789473684211
ch1_1462-170138-0022.gzip,office,0,88.08290155440415
ch1_7976-105575-0004.gzip,office,18,88.0
ch1_2078-142845-0007.gzip,office,6,87.96296296296296
ch1_7850-286674-0002.gzip,pink,12,87.92134831460675
ch1_1993-147965-0000.gzip,white,24,87.91208791208791
ch1_251-137823-0006.gzip,white,18,87.90322580645162
ch1_251-137823-0006.gzip,white,12,87.90322580645162
ch1_6241-61943-0021.gzip,white,12,87.89808917197452
ch1_2078-142845-0007.gzip,car80,24,87.80864197530865
